employer_id,employer_name,employer_category,parent_employer_id,created,active_workers,worksite_roles,agreements,aliases,lineage,oa_universe_entity,proposed_canonical,proposed_relationship,proposed_action,open_question,decision,decided_by,decided_on
714,Acciona Construction Australia,Subcontractor,,2026-04-01,8,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(out of universe),out_of_universe (recommended),"D11 Alkimos out: all 9 workers on Alkimos desalination sites (Alkimos, Acciona Jackup barge, Alkimos seawater alliance, ASWA Beverly, Alkimos marine works); round=R3",S23,,,
752,Acrow,Subcontractor,,2026-04-01,0,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),(out of universe),out_of_universe (recommended),"0 active; 1 worker at perdaman (Perdaman urea project, Karratha) — not oil and gas; round=R3",S23,,,
792,Aegis Offshore Maintenance Pty Ltd,Major_Contractor,,2026-04-16,108,0,0,0,T? same-day batch as TestCo rows (9/16 Apr 2026) — verify,— (not in OA Universe; created 16 Apr 2026 with TestCo 2),(removed),removed by DA0.2 (on production 2026-09-24),none: row deleted with the synthetic dataset (D4); evidence columns are the 22 Sep values,—,"Remove with the synthetic dataset (D4): all workers on TEST worksites, no membership numbers",operator,2026-09-22
706,AGIG,Subcontractor,,2026-04-01,16,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),706 Australian Gas Infrastructure Group (AGIG),keep (root; parent of 17 if S9),"kind=facility_operator (gas transmission / storage: Tubridgi, AGIG control room); universe edge — S9; business-name ABN 54 871 588 515 (source=abr, confidence=M); 16 workers; round=R3",S9,,,
753,Airswift,Specialist,,2026-04-01,1,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",Airswift,753 Airswift,keep,kind=labour_hire; round=R3,—,,,
790,Alliance Site Services,Major_Contractor,,2026-04-09,95,1,0,0,T? same-day batch as TestCo rows (9/16 Apr 2026) — verify,— (not in OA Universe; created 9 Apr 2026),(removed),removed by DA0.2 (on production 2026-09-24),none: row deleted with the synthetic dataset (D4); evidence columns are the 22 Sep values,—,"Remove with the synthetic dataset (D4): all workers on TEST worksites, no membership numbers",operator,2026-09-22
29,ALTRAD,Subcontractor,,2026-03-10,104,3,6,5,"A agreements spreadsheet (employer_wizard, Mar 2026)",Altrad Services (Aust),29 Altrad Services Pty Ltd,keep,"kind=contractor; agreement_entity=true (6 EAs); legal_name=Altrad Services Pty Ltd; abn=41 009 120 021 (source=abr, 2026-09-24); restore lost alias REC – ALTRAD (canonical at merges 18–19); D3 case-by-case for Ridgebay / Specialist People / REC (S17); round=R2","S17, S28",,,
814,APA Group,Subcontractor,,2026-09-17,1,0,0,0,"C membership sync (auto-created on unmatched name, Sep 2026)",APA Group,814 APA Group,keep (separate from 17 — recommended),"kind=contractor (gas transmission; universe edge, S9); 1 worker (no worksite); do not merge with 17; confidence=L; round=R3",Q-E22 (S9),,,
78,APPLUS+ PTY LTD,,,2026-03-10,83,2,4,1,"A agreements spreadsheet (employer_wizard, Mar 2026)",Applus+,78 Applus Pty Ltd,keep,"kind=contractor (inspection / NDT); agreement_entity=true (4 EAs); legal_name=Applus Pty Ltd; abn=55 008 946 969 (source=abr, 2026-09-24); aliases+=[Applus+, APPLUS+ PTY LTD]; round=R2",—,,,
729,Archer Well Company (Aust) Pl,Subcontractor,,2026-04-01,2,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",(not in OA Universe),729 Archer Well Company (Aust),keep (in universe on placement evidence — batch S22),kind=contractor; agreement_entity=false; confidence=L; source=worker_records; evidence: WA/NT Offshore (General) 1 (well services); ABN: operator lookup; round=R3,S22,,,
816,ATC,Subcontractor,,2026-09-17,0,0,0,0,"C membership sync (auto-created on unmatched name, Sep 2026)",ATC,815 ATC Offshore,same_entity → merge into 815,0 workers; alias ATC; round=R3,S19,,,
815,ATC Offshore,,,2026-09-17,1,0,0,0,"C membership sync (auto-created on unmatched name, Sep 2026)",ATC Offshore,815 ATC Offshore,keep (survivor: absorbs 816),kind=contractor; confidence=L; round=R3,S19,,,
57,ATLAS PROGRAMMED MARINE (AUSTRALIA) PTY LTD,,,2026-03-10,0,0,4,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Atlas Professionals → Programmed Offshore (legacy name),28 Programmed Offshore (Australia) Pty Ltd,"same_entity → merge into 28 (ABR: same legal entity, renamed 2024)","REOPENS the 22 Sep decision (child of 28): ABR ABN 44 109 339 433 shows ATLAS PROGRAMMED MARINE (AUSTRALIA) PTY LTD is the historic name of PROGRAMMED OFFSHORE (AUSTRALIA) PTY LTD; merge moves EAs 64, 84, 112, 113; 0 workers; alias ATLAS PROGRAMMED MARINE (AUSTRALIA) PTY LTD + Atlas Professionals; round=R2",S11,Agreement entity under 28 (D3); alias Atlas Professionals,operator,2026-09-22
723,Auriga Aviation,Specialist,,2026-04-01,6,0,0,0,"B worker import (workers_wizard bulk, 1 Apr 2026)",Auriga Aviation,723 Auriga Aviation Pty Ltd,keep (survivor: absorbs 52),kind=contractor (helicopter marine-pilot transfer; map: no offshore O&G link — confirm in universe); agreement_entity=true (EA 59); aliases+=[Auriga Aviation]; round=R2,—,,,
52,AURIGA AVIATION HELICOPTER ENGINEERS,,,2026-03-10,0,0,1,0,"A agreements spreadsheet (employer_wizard, Mar 2026)",Auriga Aviation,723 Auriga Aviation Pty Ltd,workgroup → merge into legal employer 723 + coverage onto agreement,"EA 59 → 723; no coverage worksite known (FWC, DA6.1); scope helicopters (helicopter engineers); 0 workers; alias = row name; round=R2",—,Merge into 723 Auriga Aviation; agreement scope = helicopter engineers (D2),operator,2026-09-22
817,Australian Marine Services,Specialist,,2026-09-17,1,0,0,0,"C membership sync (auto-created on unmatched name, Sep 2026)",(check OA Universe),817 Australian Marine Services,keep (in universe on placement evidence — batch S22),"kind=contractor; agreement_entity=false; confidence=L; source=worker_records; evidence: 1 worker, no worksite; ABN: operator lookup; round=R3",S22,,,
